codigo,region,municipioEscolar,nombreEscuela,nivel,ausentismo_cronico,ciencias_meta,espanol_meta,ingles_meta,mate_meta,asistencia_estudiantes_pct,asistencia_maestros_pct,matricula,Disabilities,econ_des,FosterCare,Female,Male,Migrants,Section504,econ_des_pct,disabilities_pct,zona,latitud,longitud
12930,Arecibo,Quebradillas,Juan Alejo Arizmendi,Secundario,0.4190981432360742,0.47222,0.36111,0.38889,0.0,0.8856226415094339,0.6131013112165775,367,155,294,0,184,183,0,6,0.8010899182561307,0.4223433242506812,URBANA,18.47474,-66.93604
13151,Ponce,Utuado,Francisco Ramos Sánchez,Primario,0.2990936555891239,0.50794,0.43895,0.36657,0.1312,0.91562729984119,0.6511487590651147,299,66,238,0,146,153,0,0,0.7959866220735786,0.22073578595317725,URBANA,18.2667,-66.70568
13318,Ponce,Utuado,José Vizcarrondo,Todos los niveles,0.2142857142857142,0.55102,0.44318,0.42045,0.17045,0.9429925789155984,0.6550925259901215,158,47,129,0,76,82,0,0,0.8164556962025317,0.2974683544303797,RURAL,18.28419,-66.8032
13326,Ponce,Utuado,Francisco Jordán,Primario,0.3111111111111111,0.6,0.63514,0.57432,0.5473,0.9210216983829462,0.693245150666721,172,34,150,0,88,84,0,0,0.872093023255814,0.19767441860465115,RURAL,18.28343,-66.75156
13334,Ponce,Utuado,S. U. Marta Lafontaine,Primario,0.4629629629629629,0.90476,0.79245,0.58491,0.4717,0.882624938755512,0.588138958341814,91,15,88,0,41,50,0,0,0.967032967032967,0.16483516483516483,RURAL,18.26806,-66.64424
13342,Ponce,Utuado,Antonio Tulla Torres,Primario,0.2789115646258503,0.52941,0.4,0.27957,0.58511,0.922128063992397,0.6511123760602999,134,29,118,0,61,73,0,0,0.8805970149253731,0.21641791044776118,RURAL,18.29906,-66.60231
13359,Ponce,Utuado,Inocencio Montero,Primario,0.0950920245398773,0.52239,0.57895,0.375,0.43062,0.9622679464337032,0.6657251631620953,282,64,249,0,145,137,0,0,0.8829787234042553,0.22695035460992907,RURAL,18.24821,-66.721
13391,Ponce,Utuado,Bernardo González Colón,Primario,0.2222222222222222,0.33333,0.3625,0.23849,0.14644,0.9458967343162537,0.610873711881108,283,61,226,0,137,146,0,3,0.7985865724381626,0.21554770318021202,URBANA,18.2755,-66.71126
13425,Ponce,Utuado,Luis Muñoz Rivera,Secundario,0.1425818882466281,0.53165,0.5125,0.475,0.03145,0.9615742632702176,0.574760819347541,495,66,393,0,255,240,0,5,0.793939393939394,0.13333333333333333,URBANA,18.26712,-66.72525
13912,Arecibo,Vega Baja,Nueva Brígida Álvarez Rodríguez,Todos los niveles,0.2122905027932961,0.84058,0.71284,0.59797,0.5777,0.930538518684888,0.601597738182631,732,97,418,0,374,358,0,0,0.5710382513661202,0.1325136612021858,URBANA,18.445451,-66.389915
14241,Arecibo,Arecibo I,Trina Padilla de Sanz,Todos los niveles,0.5768194070080862,0.42636,0.29719,0.23265,0.03659,0.8424705011263922,0.7249563695144425,360,166,321,0,166,194,0,0,0.8916666666666667,0.46111111111111114,URBANA,18.46557,-66.74341
14340,Bayamón,Orocovis,Alberto Meléndez,Secundario,0.2928994082840236,0.36082,0.23711,0.25773,0.1134,0.9337835270548004,0.7110733182099047,321,123,292,0,150,171,0,4,0.9096573208722741,0.38317757009345793,URBANA,18.22596,-66.39266
14357,Bayamón,Orocovis,José Rojas Cortes,Secundario,0.3094777562862669,0.82418,0.65934,0.81319,0.38462,0.921549703570936,0.7230842032914074,513,109,401,0,235,278,0,13,0.7816764132553606,0.2124756335282651,URBANA,18.22397,-66.39252
14373,Ponce,Utuado,María Libertad Gómez,Primario,0.1395348837209302,0.25581,0.39063,0.125,0.35938,0.9557259599238778,0.6455417210353637,147,51,132,0,60,87,0,0,0.8979591836734694,0.3469387755102041,URBANA,18.26778,-66.70563
14779,Arecibo,Manatí,Juan A Sánchez Dávila,Primario,0.216867469879518,0.75,0.55556,0.37607,0.47863,0.9455533795319876,0.6525085616825864,218,95,213,0,99,119,0,0,0.9770642201834863,0.43577981651376146,URBANA,18.42371,-66.48107
14787,Arecibo,Arecibo II,Francisco Pechín Marín,Primario,0.2148541114058355,0.76563,0.75,0.67262,0.69643,0.937843742936789,0.7016807353822289,307,103,249,0,149,158,0,0,0.8110749185667753,0.3355048859934853,URBANA,18.47023,-66.75383
15024,Arecibo,Arecibo II,Elba Lugo Carrión,Primario,0.2550724637681159,0.77143,0.76536,0.69663,0.80899,0.9169397144457836,0.6133911800477411,329,102,265,0,168,161,0,4,0.8054711246200608,0.3100303951367781,URBANA,18.45402,-66.74012
15248,Mayagüez,Isabela,Francisco Mendoza,Secundario,0.362116991643454,0.43716,0.51366,0.48634,0.26374,0.8977179155393483,0.619912867189145,704,200,472,0,360,344,0,9,0.6704545454545454,0.2840909090909091,URBANA,18.50178,-67.01981
15396,Mayagüez,Isabela,Mateo Hernández,Primario,0.1598173515981735,0.60606,0.41509,0.33962,0.56604,0.9572938631322396,0.7545478266801424,200,53,176,0,105,95,0,0,0.88,0.265,RURAL,18.48822,-66.99899
15404,Mayagüez,Isabela,Epifanio Estrada,Primario,0.3176470588235294,0.84615,0.68367,0.66327,0.82653,0.9138203631797996,0.6515190965475223,236,94,201,0,116,120,0,0,0.8516949152542372,0.3983050847457627,RURAL,18.48664,-66.9736
15438,Mayagüez,Isabela,Antonio Geigel Paredes,Primario,0.1596091205211726,0.40909,0.53988,0.53374,0.63804,0.94862140871177,0.6200381333284715,290,74,246,0,130,160,0,0,0.8482758620689655,0.25517241379310346,RURAL,18.46913,-67.03173
15446,Mayagüez,Isabela,José C. Rosario,Primario,0.32,0.37811,0.34019,0.34984,0.1866,0.907098753740672,0.6566830451322269,585,186,497,0,264,321,0,3,0.8495726495726496,0.31794871794871793,RURAL,18.4697,-67.02716
15453,Mayagüez,Isabela,S. U. José A. Vargas,Primario,0.3068783068783068,0.47619,0.40678,0.31646,0.25847,0.9109690891258264,0.7202954867295124,361,116,285,0,186,175,0,0,0.7894736842105263,0.32132963988919666,RURAL,18.45714,-66.97898
15750,Mayagüez,Isabela,Irma Deliz de Muñoz,Primario,0.3076923076923077,0.33803,0.31604,0.33732,0.04728,0.91961876906785,0.6899819996110308,365,131,285,0,180,185,0,0,0.7808219178082192,0.3589041095890411,URBANA,18.49813,-67.02123
15784,Arecibo,Arecibo II,Abelardo Martínez Otero,Secundario,0.1311881188118812,0.85149,0.74038,0.70297,0.2233,0.9562787069936736,0.6218429603845762,384,74,274,0,215,169,0,3,0.7135416666666666,0.19270833333333334,URBANA,18.46253,-66.74019
15792,Mayagüez,Isabela,Dr. Heriberto Domenech,Secundario,0.5084745762711864,0.33333,0.34973,0.36066,0.03825,0.8690574539992489,0.634791765879654,751,271,549,0,365,386,0,4,0.7310252996005326,0.3608521970705726,RURAL,18.4701,-67.02635
15917,Arecibo,Lares,Ramón de Jesús Sierra,Primario,0.2918454935622318,0.36196,0.45059,0.33,0.08911,0.928199630680762,0.6320720757666136,451,132,369,0,226,225,0,7,0.8181818181818182,0.2926829268292683,URBANA,18.29245,-66.88992
16220,Ponce,Utuado,Judith A. Vivas,Primario,0.1870503597122302,0.80357,0.87363,0.85083,0.90659,0.9412352879908344,0.58491097387907,257,59,210,0,131,126,0,1,0.8171206225680934,0.22957198443579765,URBANA,18.26701,-66.6955
17111,Arecibo,Arecibo II,Luis Muñoz Marín,Primario,0.4927536231884058,0.95699,0.4129,0.43564,0.25243,0.8585791251940462,0.6315281669163455,305,137,249,0,159,146,0,0,0.8163934426229508,0.4491803278688525,URBANA,18.4662,-66.74674
17186,Bayamón,Morovis,Ángel G. Quintero,Primario,0.0446927374301676,0.7,0.46903,0.49558,0.31268,0.9808554201328432,0.8237842529620703,348,95,264,0,156,192,0,0,0.7586206896551724,0.27298850574712646,RURAL,18.35816,-66.44581
