PartitionKey,escuela,region,municipio,escuela_receptora,nivel,grade,matricula_1819,matricula_1718,matricula_1617,espanol_1819,espanol_1718,espanol_1617,matematica_1819,matematica_1718,matematica_1617,ingles_1819,ingles_1718,ingles_1617,ciencias_1819,ciencias_1718,ciencias_1617,latitude,longitude,escuela_receptora_cat,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
18234,Vicente Acevedo Ballester,ARECIBO,BARCELONETA,1,PRIMARIO,K - 8,535,330,331,43.5,63.2,69.5,31.0,68.1,64.1,35.7,64.3,58.1,59.6,71.8,78.0,18.2513,-66.3437,Schools received displaced students in SY 2019,2019,535,186,411,279,0,8,25,256,0,0,349,124,0,527,0,1,0
10611,Victor Rojas I,ARECIBO,ARECIBO,0,TODOS LOS NIVELES,EEE - EES,55,71,53,93.3,9.1,50.0,0.0,0.0,0.0,46.7,45.5,28.6,92.3,63.6,61.5,18.45843,-66.7394,Schools did not receive displaced students,2019,55,41,53,18,0,0,0,37,0,0,14,2,0,55,0,0,0
74864,Abelardo Diaz Alfaro,BAYAMON,TOA ALTA,0,PRIMARIO,"6 - 8, EEI",484,549,498,41.2,39.5,32.7,21.7,38.5,2.3,21.7,48.6,31.1,47.2,35.1,27.2,18.36274,-66.21927,Schools did not receive displaced students,2019,484,178,378,225,0,6,7,259,0,0,306,106,0,478,1,2,0
78931,Adela Rolon Fuentes,BAYAMON,TOA ALTA,0,SECUNDARIO,"9 - 12, EES",510,518,703,43.6,31.7,44.8,2.7,1.0,6.7,39.6,36.8,37.9,46.4,42.4,41.0,18.3609,-66.21538,Schools did not receive displaced students,2019,510,132,342,263,0,8,1,247,0,0,378,168,1,500,0,0,1
71514,Adolfina Irizarry de Puig,BAYAMON,TOA BAJA,0,SECUNDARIO,9 - 12,430,574,628,37.5,31.4,41.9,10.2,11.0,5.6,27.6,22.2,24.7,35.2,36.2,40.3,18.43998,-66.25288,Schools did not receive displaced students,2019,430,61,366,222,0,6,3,208,0,0,369,64,0,423,3,0,1
14340,Alberto Melendez,BAYAMON,OROCOVIS,0,SECUNDARIO,9 - 12,383,415,511,23.7,31.7,35.1,11.3,7.7,18.1,25.8,31.1,41.5,36.1,51.5,51.1,18.22596,-66.39266,Schools did not receive displaced students,2019,383,91,320,194,0,7,0,189,0,0,292,63,0,376,10,0,0
71449,Alejandro Jr Cruz,BAYAMON,TOA ALTA,1,PRIMARIO,"K - 5, EEE",157,119,93,49.33,57.5,57.9,52.1,62.5,60.5,38.0,36.8,36.8,92.0,66.7,66.7,18.36625,-66.25677,Schools received displaced students in SY 2019,2019,157,75,142,72,0,2,24,85,0,0,82,15,0,155,0,0,0
71530,Altinencia Valle,BAYAMON,TOA BAJA,0,PRIMARIO,"K - 8, EEE",616,625,585,49.9,40.7,40.1,25.7,28.2,35.3,36.2,31.9,33.2,51.1,61.4,55.0,18.42334,-66.23427,Schools did not receive displaced students,2019,616,219,531,292,0,13,1,324,0,0,397,85,0,603,0,1,0
70672,Andres C Gonzalez,BAYAMON,BAYAMON,0,PRIMARIO,"K - 8, EEI",139,253,222,21.9,28.4,28.5,11.5,18.3,20.3,5.8,11.3,11.5,7.0,36.5,29.8,18.31756,-66.1648,Schools did not receive displaced students,2019,139,51,115,64,0,4,5,75,0,0,88,24,0,135,0,1,0
17186,Angel G Quintero,BAYAMON,MOROVIS,0,PRIMARIO,"6 - 8, EEI",349,350,407,46.9,48.1,56.4,31.3,36.5,41.5,49.6,59.9,51.5,70.0,77.9,64.5,18.35816,-66.44581,Schools did not receive displaced students,2019,349,88,248,155,0,0,6,194,0,0,261,101,0,349,2,0,0
